Server_Name,IP_Address,Description,SCADA_System,Domain,Connected,Maintained,Fully_Qualified,Identifier,Location,OS_Installation,MS_Office,Other_Software,NOTES,Distribute_TGPL_GRAPHICS
wmstutpits01,172.26.192.22,Terminal Server,G&P SCADA,Williams,✔,,wmstutpits01.Williams.com,154,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2013,,Use WMSSCADA password to access \\ DOES NOT HAVE OPEN RDA drivers; can't access OASyS databases,
wmstutqfcamts01,172.26.191.84,FCA QA ezXOS Terminal Server - for checkouts,FCA/NE SCADA,WMSSCADA,✔,✔,wmstutqfcamts01.WMSSCADA.local,155,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqfcarts1,172.26.191.78,FCA QA RealTime 1,FCA/NE SCADA,Williams,✔,✔,wmstutqfcarts1.Williams.com,156,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqfcarts2,172.26.191.79,FCA QA RealTime 2,FCA/NE SCADA,Williams,✔,,wmstutqfcarts2.Williams.com,157,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqlds1,,Development SimSuite Server,G&P SCADA,Williams,,,wmstutqlds1.Williams.com,158,Tulsa,,,,,
wmstutqlmsmts01,172.26.191.80,LMS QA ezXOS Terminal Server - for checkouts,Liquids SCADA,Williams,✔,✔,wmstutqlmsmts01.Williams.com,159,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqlmsrts1,172.26.191.76,LMS QA RealTime 1,Liquids SCADA,Williams,✔,✔,wmstutqlmsrts1.Williams.com,160,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqlmsrts2,172.26.191.77,LMS QA RealTime 2,Liquids SCADA,Williams,✔,✔,wmstutqlmsrts2.Williams.com,161,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqrmamts01,172.26.191.85,RMA QA ezXOS Terminal Server - for checkouts,RMA/GCA,Williams,✔,✔,wmstutqrmamts01.Williams.com,162,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
wmstutqrmarts1,172.26.191.89,RMA QA RealTime 1,RMA/GCA,Williams,,,wmstutqrmarts1.Williams.com,163,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,Use WMSSCADA password to access,
